1;1;(5, 10)
1;2;(3, 6)
1;1;(6, 14)
1;2;(4, 10)
1;1;(7, 18)
1;2;(5, 14)
1;2;(6, 18)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
4;1;(5, 10)
2;1;(6, 14);(6, 13)
2;2;(4, 10);(4, 8)
3;2;(5, 14);(7, 18)
4;1;(7, 18)
2;2;(6, 18);(6, 17)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 13);(6, 12)
3;2;(5, 14);(7, 18)
2;2;(6, 17);(6, 18)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 12);(6, 13)
2;2;(4, 8);(4, 6)
3;2;(5, 14);(7, 18)
2;2;(6, 18);(6, 17)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 13);(6, 11)
2;2;(4, 6);(4, 7)
3;2;(5, 14);(7, 18)
2;2;(6, 17);(7, 16)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 11);(6, 9)
2;2;(4, 7);(5, 7)
3;2;(5, 14);(7, 18)
2;2;(7, 16);(7, 15)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 9);(6, 7)
2;2;(5, 7);(5, 6)
3;2;(5, 14);(7, 18)
2;2;(7, 15);(8, 16)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 7);(6, 6)
2;2;(5, 6);(5, 4)
3;2;(5, 14);(7, 18)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(6, 6);(7, 5)
2;2;(5, 4);(5, 3)
3;2;(5, 14);(7, 18)
2;2;(8, 16);(8, 17)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(7, 5);(8, 6)
3;2;(5, 14);(7, 18)
2;2;(8, 17);(8, 15)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(8, 6);(8, 5)
2;2;(5, 3);(6, 3)
3;2;(5, 14);(7, 18)
2;2;(8, 15);(9, 14)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;2;(6, 3);(6, 2)
3;2;(5, 14);(7, 18)
2;2;(9, 14);(9, 13)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
2;1;(8, 5);(8, 4)
2;2;(6, 2);(6, 1)
3;2;(5, 14);(7, 18)
2;2;(9, 13);(9, 12)
3;1;(5, 10);(7, 14)
3;2;(3, 6);(5, 10)
6;2
5;2
